key,value,timestamp,sentence
A - Very Sad,0.0897,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
B - Sad,0.5704,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
C - Neutral,0.2992,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
D - Happy,0.0283,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
E - Very Happy,0.0124,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
A - Very Sad,0.0326,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
B - Sad,0.1365,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
C - Neutral,0.2982,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
D - Happy,0.4581,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
E - Very Happy,0.0745,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
A - Very Sad,0.1697,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
B - Sad,0.6197,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
C - Neutral,0.1623,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
D - Happy,0.0312,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
E - Very Happy,0.0171,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
A - Very Sad,0.0425,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
B - Sad,0.2081,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
C - Neutral,0.4529,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
D - Happy,0.2493,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
E - Very Happy,0.0472,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
A - Very Sad,0.0422,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
B - Sad,0.1919,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
C - Neutral,0.4218,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
D - Happy,0.2872,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
E - Very Happy,0.0569,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
A - Very Sad,0.0263,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
B - Sad,0.1636,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
C - Neutral,0.5957,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
D - Happy,0.1934,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
E - Very Happy,0.0211,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
A - Very Sad,0.0393,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
B - Sad,0.2342,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
C - Neutral,0.4613,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
D - Happy,0.2263,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
E - Very Happy,0.0389,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
A - Very Sad,0.1132,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
B - Sad,0.2447,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
C - Neutral,0.0891,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
D - Happy,0.3305,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
